ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0000904	cell morphogenesis involved in differentiation	466	0.771114459964388	1.28140387100566	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1091	tags=21%, list=9%, signal=20%	ENSG00000196569/ENSG00000134121/ENSG00000075223/ENSG00000187122/ENSG00000154134/ENSG00000148082/ENSG00000091136/ENSG00000007372/ENSG00000066468/ENSG00000170017/ENSG00000099250/ENSG00000109132/ENSG00000188906/ENSG00000167178/ENSG00000130558/ENSG00000168505/ENSG00000114315/ENSG00000184144/ENSG00000066032/ENSG00000156687/ENSG00000114646/ENSG00000135905/ENSG00000107104/ENSG00000163623/ENSG00000154764/ENSG00000138696/ENSG00000077264/ENSG00000144857/ENSG00000001617/ENSG00000124126/ENSG00000011201/ENSG00000006468/ENSG00000064300/ENSG00000147010/ENSG00000151892/ENSG00000184347/ENSG00000082684/ENSG00000148600/ENSG00000221866/ENSG00000179242/ENSG00000171798/ENSG00000079215/ENSG00000077942/ENSG00000101134/ENSG00000173706/ENSG00000178235/ENSG00000182580/ENSG00000171956/ENSG00000140538/ENSG00000112715/ENSG00000065320/ENSG00000124486/ENSG00000185008/ENSG00000171608/ENSG00000125848/ENSG00000181790/ENSG00000158301/ENSG00000186868/ENSG00000074047/ENSG00000135333/ENSG00000198910/ENSG00000162493/ENSG00000169783/ENSG00000061337/ENSG00000115993/ENSG00000148053/ENSG00000173482/ENSG00000143320/ENSG00000140937/ENSG00000116106/ENSG00000162490/ENSG00000076864/ENSG00000169862/ENSG00000065675/ENSG00000133216/ENSG00000145147/ENSG00000156299/ENSG00000160716/ENSG00000160691/ENSG00000063660/ENSG00000116035/ENSG00000108379/ENSG00000135862/ENSG00000047579/ENSG00000129116/ENSG00000142627/ENSG00000111249/ENSG00000044090/ENSG00000179915/ENSG00000143434/ENSG00000167601/ENSG00000181754/ENSG00000110400/ENSG00000105996/ENSG00000100503/ENSG00000133961/ENSG00000083290/ENSG00000115414/ENSG00000169083/ENSG00000277586
BP	GO:0002009	morphogenesis of an epithelium	342	0.777691006989456	1.29070631221902	1.999996000008e-06	0.000506238987522025	0.000441262275370186	563	tags=13%, list=5%, signal=13%	ENSG00000244405/ENSG00000075223/ENSG00000162998/ENSG00000161638/ENSG00000115461/ENSG00000169071/ENSG00000066468/ENSG00000138136/ENSG00000157227/ENSG00000099250/ENSG00000205213/ENSG00000136099/ENSG00000152661/ENSG00000168505/ENSG00000070193/ENSG00000172201/ENSG00000136158/ENSG00000114315/ENSG00000177508/ENSG00000139292/ENSG00000104267/ENSG00000095261/ENSG00000164930/ENSG00000133121/ENSG00000154764/ENSG00000130635/ENSG00000196159/ENSG00000076826/ENSG00000151388/ENSG00000173218/ENSG00000197921/ENSG00000198719/ENSG00000135299/ENSG00000081479/ENSG00000004399/ENSG00000146648/ENSG00000120149/ENSG00000182742/ENSG00000112715/ENSG00000065320/ENSG00000125848/ENSG00000156925/ENSG00000074047/ENSG00000135333/ENSG00000125266/ENSG00000162493
CC	GO:0005887	integral component of plasma membrane	445	0.773993668043453	1.28594048115515	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1383	tags=28%, list=12%, signal=26%	ENSG00000018625/ENSG00000044524/ENSG00000068078/ENSG00000161638/ENSG00000196218/ENSG00000066468/ENSG00000157227/ENSG00000170017/ENSG00000099250/ENSG00000118946/ENSG00000205213/ENSG00000136099/ENSG00000152661/ENSG00000105143/ENSG00000178568/ENSG00000187244/ENSG00000186854/ENSG00000137868/ENSG00000105855/ENSG00000010278/ENSG00000184144/ENSG00000060656/ENSG00000125430/ENSG00000171385/ENSG00000139292/ENSG00000114646/ENSG00000164930/ENSG00000125726/ENSG00000011347/ENSG00000183908/ENSG00000138696/ENSG00000113594/ENSG00000067182/ENSG00000064309/ENSG00000177272/ENSG00000059804/ENSG00000144857/ENSG00000082781/ENSG00000170412/ENSG00000166206/ENSG00000076356/ENSG00000183023/ENSG00000064300/ENSG00000198719/ENSG00000082482/ENSG00000139182/ENSG00000141505/ENSG00000144668/ENSG00000004399/ENSG00000179242/ENSG00000079215/ENSG00000077238/ENSG00000136531/ENSG00000158258/ENSG00000178235/ENSG00000182580/ENSG00000140538/ENSG00000204520/ENSG00000184216/ENSG00000111432/ENSG00000174469/ENSG00000125848/ENSG00000118432/ENSG00000135333/ENSG00000125266/ENSG00000158445/ENSG00000188313/ENSG00000162493/ENSG00000138080/ENSG00000164082/ENSG00000148053/ENSG00000173482/ENSG00000116106/ENSG00000125966/ENSG00000110436/ENSG00000026559/ENSG00000133216/ENSG00000004864/ENSG00000166257/ENSG00000162706/ENSG00000163686/ENSG00000198121/ENSG00000104998/ENSG00000174498/ENSG00000160716/ENSG00000132639/ENSG00000105088/ENSG00000171094/ENSG00000137642/ENSG00000187266/ENSG00000146006/ENSG00000146072/ENSG00000244165/ENSG00000142627/ENSG00000155511/ENSG00000179915/ENSG00000175497/ENSG00000181754/ENSG00000110400/ENSG00000177707/ENSG00000115525/ENSG00000218336/ENSG00000163873/ENSG00000134352/ENSG00000132535/ENSG00000146242/ENSG00000154856/ENSG00000198053/ENSG00000096433/ENSG00000130821/ENSG00000170571/ENSG00000128594/ENSG00000157168/ENSG00000146938/ENSG00000147100/ENSG00000105605/ENSG00000168389/ENSG00000104219/ENSG00000132563/ENSG00000116299/ENSG00000157542/ENSG00000095637/ENSG00000072041/ENSG00000162105
BP	GO:0006935	chemotaxis	275	0.784473879519867	1.30068306541069	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1004	tags=23%, list=9%, signal=22%	ENSG00000196569/ENSG00000134121/ENSG00000075223/ENSG00000187122/ENSG00000154134/ENSG00000148082/ENSG00000007372/ENSG00000170017/ENSG00000099250/ENSG00000163377/ENSG00000130830/ENSG00000168505/ENSG00000070193/ENSG00000156687/ENSG00000138696/ENSG00000144857/ENSG00000001617/ENSG00000124126/ENSG00000011201/ENSG00000106538/ENSG00000006468/ENSG00000147010/ENSG00000170989/ENSG00000151892/ENSG00000184347/ENSG00000144668/ENSG00000082684/ENSG00000221866/ENSG00000179242/ENSG00000100604/ENSG00000101134/ENSG00000182580/ENSG00000140538/ENSG00000112715/ENSG00000065320/ENSG00000185008/ENSG00000171951/ENSG00000137801/ENSG00000171608/ENSG00000125848/ENSG00000074047/ENSG00000135333/ENSG00000198910/ENSG00000125266/ENSG00000173482/ENSG00000116106/ENSG00000162490/ENSG00000076864/ENSG00000065675/ENSG00000133216/ENSG00000198121/ENSG00000145147/ENSG00000113448/ENSG00000156299/ENSG00000160691/ENSG00000063660/ENSG00000108379/ENSG00000113721/ENSG00000142627/ENSG00000179915/ENSG00000143434/ENSG00000166900/ENSG00000110400/ENSG00000105996
BP	GO:0007268	chemical synaptic transmission	347	0.783817475806979	1.30096010506322	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1232	tags=24%, list=11%, signal=23%	ENSG00000018625/ENSG00000196569/ENSG00000244405/ENSG00000106236/ENSG00000169071/ENSG00000148082/ENSG00000188906/ENSG00000118946/ENSG00000150551/ENSG00000136099/ENSG00000105143/ENSG00000132872/ENSG00000184144/ENSG00000145920/ENSG00000134769/ENSG00000123560/ENSG00000114646/ENSG00000104267/ENSG00000011347/ENSG00000154764/ENSG00000166206/ENSG00000127955/ENSG00000102466/ENSG00000005379/ENSG00000006283/ENSG00000139182/ENSG00000007516/ENSG00000176406/ENSG00000130477/ENSG00000110076/ENSG00000146648/ENSG00000079215/ENSG00000182621/ENSG00000169213/ENSG00000100321/ENSG00000101098/ENSG00000180176/ENSG00000131435/ENSG00000181790/ENSG00000186868/ENSG00000118432/ENSG00000158445/ENSG00000100505/ENSG00000061337/ENSG00000272636/ENSG00000164082/ENSG00000148053/ENSG00000112852/ENSG00000140937/ENSG00000221890/ENSG00000067715/ENSG00000116106/ENSG00000102003/ENSG00000205363/ENSG00000110436/ENSG00000133216/ENSG00000139220/ENSG00000101489/ENSG00000163686/ENSG00000079841/ENSG00000114200/ENSG00000081803/ENSG00000160716/ENSG00000132639/ENSG00000146006/ENSG00000047579/ENSG00000111249/ENSG00000155511/ENSG00000168297/ENSG00000179915/ENSG00000101180/ENSG00000166900/ENSG00000154118/ENSG00000101298/ENSG00000148408/ENSG00000163873/ENSG00000163618/ENSG00000132535/ENSG00000168610/ENSG00000196358/ENSG00000096433/ENSG00000128594/ENSG00000007402/ENSG00000168824/ENSG00000146938
BP	GO:0007409	axonogenesis	288	0.806761743082983	1.33789376299383	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1091	tags=26%, list=9%, signal=25%	ENSG00000196569/ENSG00000134121/ENSG00000075223/ENSG00000187122/ENSG00000154134/ENSG00000148082/ENSG00000007372/ENSG00000066468/ENSG00000170017/ENSG00000099250/ENSG00000109132/ENSG00000167178/ENSG00000130558/ENSG00000168505/ENSG00000184144/ENSG00000066032/ENSG00000156687/ENSG00000163623/ENSG00000154764/ENSG00000138696/ENSG00000077264/ENSG00000144857/ENSG00000001617/ENSG00000011201/ENSG00000006468/ENSG00000064300/ENSG00000147010/ENSG00000151892/ENSG00000184347/ENSG00000082684/ENSG00000221866/ENSG00000179242/ENSG00000101134/ENSG00000178235/ENSG00000182580/ENSG00000171956/ENSG00000140538/ENSG00000112715/ENSG00000065320/ENSG00000124486/ENSG00000185008/ENSG00000171608/ENSG00000125848/ENSG00000181790/ENSG00000186868/ENSG00000074047/ENSG00000135333/ENSG00000198910/ENSG00000169783/ENSG00000115993/ENSG00000148053/ENSG00000173482/ENSG00000143320/ENSG00000140937/ENSG00000116106/ENSG00000162490/ENSG00000076864/ENSG00000065675/ENSG00000133216/ENSG00000145147/ENSG00000156299/ENSG00000160716/ENSG00000160691/ENSG00000063660/ENSG00000116035/ENSG00000108379/ENSG00000179915/ENSG00000143434/ENSG00000181754/ENSG00000110400/ENSG00000105996/ENSG00000100503/ENSG00000133961/ENSG00000083290/ENSG00000115414/ENSG00000277586
BP	GO:0007411	axon guidance	146	0.837585820069452	1.3848128622968	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1004	tags=31%, list=9%, signal=29%	ENSG00000196569/ENSG00000134121/ENSG00000075223/ENSG00000187122/ENSG00000154134/ENSG00000148082/ENSG00000007372/ENSG00000170017/ENSG00000099250/ENSG00000168505/ENSG00000156687/ENSG00000138696/ENSG00000144857/ENSG00000001617/ENSG00000011201/ENSG00000006468/ENSG00000147010/ENSG00000151892/ENSG00000184347/ENSG00000221866/ENSG00000179242/ENSG00000101134/ENSG00000182580/ENSG00000112715/ENSG00000065320/ENSG00000185008/ENSG00000171608/ENSG00000125848/ENSG00000074047/ENSG00000135333/ENSG00000198910/ENSG00000173482/ENSG00000116106/ENSG00000162490/ENSG00000076864/ENSG00000065675/ENSG00000133216/ENSG00000145147/ENSG00000160691/ENSG00000063660/ENSG00000108379/ENSG00000179915/ENSG00000143434/ENSG00000110400/ENSG00000105996
BP	GO:0007420	brain development	494	0.74135340028802	1.23226972818576	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1391	tags=21%, list=12%, signal=19%	ENSG00000152977/ENSG00000196092/ENSG00000187122/ENSG00000091136/ENSG00000007372/ENSG00000066468/ENSG00000099250/ENSG00000109132/ENSG00000188906/ENSG00000179348/ENSG00000164778/ENSG00000139352/ENSG00000132872/ENSG00000168505/ENSG00000178568/ENSG00000070193/ENSG00000128573/ENSG00000010278/ENSG00000172201/ENSG00000176658/ENSG00000114315/ENSG00000184144/ENSG00000066032/ENSG00000123560/ENSG00000169840/ENSG00000164930/ENSG00000154764/ENSG00000064309/ENSG00000196159/ENSG00000182968/ENSG00000076356/ENSG00000256463/ENSG00000183023/ENSG00000163132/ENSG00000197921/ENSG00000162433/ENSG00000134595/ENSG00000198719/ENSG00000170989/ENSG00000081479/ENSG00000165462/ENSG00000146648/ENSG00000221866/ENSG00000171798/ENSG00000185551/ENSG00000182621/ENSG00000077092/ENSG00000182580/ENSG00000171956/ENSG00000180176/ENSG00000185532/ENSG00000120094/ENSG00000185008/ENSG00000174469/ENSG00000124788/ENSG00000146950/ENSG00000074047/ENSG00000135333/ENSG00000148053/ENSG00000176170/ENSG00000109819/ENSG00000067715/ENSG00000162490/ENSG00000112139/ENSG00000110436/ENSG00000137872/ENSG00000133216/ENSG00000145423/ENSG00000111087/ENSG00000198121/ENSG00000145147/ENSG00000180616/ENSG00000160716/ENSG00000132688/ENSG00000171094/ENSG00000116035/ENSG00000187266/ENSG00000165795/ENSG00000108379/ENSG00000150764/ENSG00000167601/ENSG00000105996/ENSG00000100503/ENSG00000101298/ENSG00000127561/ENSG00000133961/ENSG00000151208/ENSG00000277586/ENSG00000169554/ENSG00000165240/ENSG00000102678/ENSG00000157168/ENSG00000146938/ENSG00000140463/ENSG00000151012/ENSG00000168389/ENSG00000118689/ENSG00000095397/ENSG00000111783/ENSG00000120868/ENSG00000116729/ENSG00000172264/ENSG00000188064
BP	GO:0007423	sensory organ development	298	0.78597188300295	1.30360299414043	1.999996000008e-06	0.000506238987522025	0.000441262275370186	1309	tags=27%, list=11%, signal=24%	ENSG00000152977/ENSG00000150275/ENSG00000162998/ENSG00000169071/ENSG00000007372/ENSG00000066468/ENSG00000099250/ENSG00000109132/ENSG00000179348/ENSG00000176842/ENSG00000152661/ENSG00000139352/ENSG00000168505/ENSG00000070193/ENSG00000128573/ENSG00000137868/ENSG00000140873/ENSG00000136158/ENSG00000114315/ENSG00000153162/ENSG00000139292/ENSG00000115159/ENSG00000164930/ENSG00000154764/ENSG00000130635/ENSG00000008196/ENSG00000138696/ENSG00000198732/ENSG00000131242/ENSG00000064309/ENSG00000196159/ENSG00000182968/ENSG00000166206/ENSG00000163132/ENSG00000197921/ENSG00000134595/ENSG00000198719/ENSG00000082482/ENSG00000111186/ENSG00000146648/ENSG00000166147/ENSG00000139263/ENSG00000077092/ENSG00000180176/ENSG00000140538/ENSG00000112715/ENSG00000065320/ENSG00000101938/ENSG00000113140/ENSG00000146950/ENSG00000074047/ENSG00000148053/ENSG00000173482/ENSG00000139219/ENSG00000133216/ENSG00000101489/ENSG00000123307/ENSG00000132688/ENSG00000116035/ENSG00000113721/ENSG00000007062/ENSG00000142627/ENSG00000110400/ENSG00000105996/ENSG00000177707/ENSG00000218336/ENSG00000186480/ENSG00000154079/ENSG00000112320/ENSG00000117298/ENSG00000168610/ENSG00000143995/ENSG00000169554/ENSG00000197324/ENSG00000102678/ENSG00000140463/ENSG00000125629/ENSG00000151012/ENSG00000095397
BP	GO:0021953	central nervous system neuron differentiation	117	0.848286170886929	1.40139415040671	1.999996000008e-06	0.000506238987522025	0.000441262275370186	867	tags=32%, list=7%, signal=30%	ENSG00000009709/ENSG00000007372/ENSG00000066468/ENSG00000138136/ENSG00000099250/ENSG00000109132/ENSG00000179348/ENSG00000148826/ENSG00000139352/ENSG00000168505/ENSG00000178568/ENSG00000172201/ENSG00000114315/ENSG00000184144/ENSG00000156687/ENSG00000169840/ENSG00000163623/ENSG00000154764/ENSG00000182968/ENSG00000256463/ENSG00000197921/ENSG00000152377/ENSG00000165462/ENSG00000221866/ENSG00000171798/ENSG00000182580/ENSG00000185008/ENSG00000186868/ENSG00000074047/ENSG00000148053/ENSG00000140937/ENSG00000116106/ENSG00000162490/ENSG00000112139/ENSG00000145423/ENSG00000145147/ENSG00000160716/ENSG00000108379
